i,lat,long
0,30.433676774587877,-97.69204205720193
1,41.89110065097819,-87.6140032617778
4,41.89110065097819,-87.6140032617778
5,42.063498550000006,-88.32628565
5,41.79387414085752,-87.68387359325466
5,41.890812800000006,-87.63132305
5,41.87959671020508,-87.72154998779297
5,41.89043045043945,-87.63665771484375
5,41.79387414085752,-87.68387359325466
5,41.890812800000006,-87.63132305
5,41.87574134989609,-87.73365264244057
5,41.9123881,-88.18467225
5,41.724156962353966,-87.54748322901592
5,41.764435815873384,-87.5932164490752
5,42.396043048709686,-88.14262827452181
5,41.88577469233857,-71.43089564962119
5,41.6863631644646,-87.61855339515034
5,41.89229151450878,-87.60530413228989
5,41.095436096191406,-87.94847869873047
5,41.89110065097819,-87.6140032617778
5,41.88922095123231,-88.19485861682031
5,41.724156962353966,-87.54748322901592
5,41.651296,-87.60342955
5,41.95276653069681,-87.79607505611993
5,41.89110065097819,-87.6140032617778
5,38.64239120065636,-88.92766506237254
5,41.724156962353966,-87.54748322901592
5,41.79597867284746,-87.6631722949893
5,41.9123881,-88.18467225
5,41.724156962353966,-87.54748322901592
5,41.716552898268446,-87.6085049045434
6,41.89110065097819,-87.6140032617778
6,38.64239120065636,-88.92766506237254
6,41.724156962353966,-87.54748322901592
6,41.79496986925489,-87.60681868462609
6,41.89043045043945,-87.63665771484375
6,41.871450570918114,-87.70742833065651
6,41.9824814,-87.83111885000001
6,41.76947995000001,-87.61820375
6,41.79496986925489,-87.60681868462609
6,41.87780337461316,-87.7734807172891
6,45.44636397816258,-122.58595467233243
6,41.89229151450878,-87.60530413228989
6,41.8676452875538,-87.69474372331831
6,41.9078468,-87.70127120000001
6,41.890812800000006,-87.63132305
6,41.88177630089904,-87.72081588620655
6,41.79427295000001,-87.71400825
6,41.89229151450878,-87.60530413228989
6,41.74176029806838,-87.71920409423956
7,42.29815426504011,-87.8502197556453
7,40.8195945,-89.60709680000001
8,42.32558059692383,-87.84117889404297
11,41.553342900000004,-87.31603030000001
12,41.8937334,-87.83360475
12,41.89110065097819,-87.6140032617778
13,41.89229151450878,-87.60530413228989
16,41.51495686437447,-87.80066246599671
19,41.892112731933594,-87.74358367919922
24,41.89110065097819,-87.6140032617778
25,41.76119557209844,-87.55601772728794
25,41.89110065097819,-87.6140032617778
25,41.48086929321289,-87.6378173828125
25,41.88475036621094,-88.2039566040039
31,41.897150130416954,-87.624829881693
36,41.89110065097819,-87.6140032617778
36,41.48086929321289,-87.6378173828125
36,41.87527905,-87.6863507
36,41.766769450000005,-87.6322558
36,41.724605560302734,-87.62948608398438
36,45.398214800000005,-75.6158816
36,41.74641799926758,-87.54696655273438
36,46.73806747131487,-117.16984593112204
36,41.8386435,-87.62328310000001
36,41.872920989990234,-87.71092224121094
36,41.89110065097819,-87.6140032617778
36,41.71420810000001,-87.5352799
36,41.89110065097819,-87.6140032617778
36,41.74936264680214,-87.71415410033576
